#{"t_start": 1777827380.5615766, "env_id": "None"}
r,l,t
102.184005,122,254.827888
1519.695797,500,256.012373
371.903208,212,256.423191
1496.127581,500,257.579591
1432.772363,500,259.962927
167.283626,115,260.170729
1344.42215,500,261.157197
120.599625,162,261.565061
1226.59239,500,262.542348
1076.746754,500,263.73868
-2.085416,80,263.903256
269.478869,191,266.669404
1281.827316,500,268.010412
1238.366235,500,269.185127
1309.118741,500,270.376675
1296.582083,500,272.868986
1420.483048,500,273.831996
1060.463629,500,274.74746
23.243156,69,274.868821
1357.579113,500,275.998201
865.247427,500,279.24386
1441.526161,500,280.259246
917.003077,391,281.04925
41.538448,75,281.199983
1277.024601,500,282.092531
67.830902,153,282.393979
122.875203,150,282.668388
94.109859,112,282.870713
1467.452293,500,285.569166
1379.789957,500,286.504925
1169.901713,500,287.509296
1327.611688,500,288.561442
1411.899453,500,291.103844
-40.747317,11,291.122595
197.781157,299,291.668439
3.464508,63,291.774572
1405.322787,500,292.867266
162.848192,186,293.227398
1067.621006,500,294.209938
14.21176,110,294.403816
734.644629,500,297.893142
1164.94581,500,299.480371
72.654017,139,299.866179
76.262476,148,300.231385
76.154466,143,300.734192
30.002383,83,300.942614
364.871137,309,301.805359
-18.706784,37,301.870307
53.378165,132,302.109068
23.249564,88,303.522067
1407.90856,500,304.666475
-8.678262,39,304.731582
247.722434,212,305.151978
1160.426705,500,306.102293
-42.566946,5,306.112643
1306.303661,500,312.432137
412.780855,500,314.610801
808.80843,500,315.575539
864.326242,500,316.637733
1260.599209,500,317.89463
-9.887579,43,317.983613
1269.931244,500,320.287
88.245033,123,320.504137
7.643643,48,320.624996
19.835592,66,320.773512
1108.528437,500,321.772738
435.541847,500,322.675486
560.023623,500,323.6381
11.217255,76,323.762043
43.313936,107,325.242224
-0.974492,55,325.333396
1315.729596,500,326.325333
-2.390682,86,326.47068
-22.75134,42,326.541362
1422.440594,500,327.608066
909.675086,500,328.678071
1275.34579,500,330.959782
167.342308,164,331.359456
1049.242833,467,332.285639
1495.510068,500,333.54289
1442.08259,500,334.475934
625.136759,500,336.87139
1427.614329,500,338.135262
-12.580193,57,338.238517
1181.262813,500,339.255157
1065.121519,500,340.264904
440.578597,317,342.306043
23.102635,104,342.492831
466.703479,500,343.433497
171.913364,126,343.656248
1165.781324,500,344.767681
870.274892,409,345.509839
275.614599,352,347.424783
1332.368959,500,348.465147
339.472482,433,349.184891
1340.188148,500,350.205991
1421.352073,500,351.269842
-8.575161,46,352.69108
729.333017,500,353.655133
947.465605,485,354.690908
1444.750837,500,355.799079
1303.107705,500,356.861078
-18.933117,45,356.931686
535.350636,500,359.19414
555.043209,251,359.698924
1345.71159,500,360.705912
353.301997,191,361.048059
728.797939,347,361.753457
1467.739372,500,364.289716
37.411896,76,364.477329
1410.034158,500,366.226245
-35.527162,26,366.267889
-4.886731,82,366.412343
1144.63674,500,367.607657
5.63547,52,367.746799
-19.115492,29,367.821248
1326.426157,500,369.27928
683.383476,292,371.177004
1525.495936,500,372.279009
1149.584435,500,373.290066
406.829468,287,373.80884
4.318434,62,373.917687
606.961915,500,376.208908
77.656651,97,376.357831
1431.174,500,377.413204
1392.242211,500,378.387314
312.115694,303,378.969824
1340.28438,500,380.011833
-13.732244,51,380.099038
905.62736,363,385.724127
1127.603025,500,386.772471
1381.259149,500,387.847255
937.390409,359,388.680056
1394.846342,500,391.09345
921.240791,500,392.128237
16.726071,78,392.263106
565.083335,500,393.366233
-34.335505,11,393.387664
35.674596,118,393.589485
-47.336135,3,393.595011
544.274663,288,394.152527
1327.504097,500,396.648107
1400.219181,500,398.018683
-23.73389,37,398.079738
1251.508375,500,398.980872
-47.401684,3,398.986717
444.954421,221,399.399963
379.90045,423,400.192275
1246.249336,500,402.441856
45.115813,110,402.631493
1424.562342,500,403.715399
1370.47613,500,404.828512
1459.933214,500,406.165821
45.915131,92,406.336674
909.044269,319,408.406656
984.314836,500,409.495378
69.039893,120,409.770184
356.29289,174,410.134166
1436.839916,500,411.192501
1292.286834,500,412.177554
193.683573,143,413.70806
-45.345242,11,413.725518
1332.51152,500,414.761151
1359.037728,500,415.798017
1533.264649,500,417.010984
1458.96108,500,419.704042
17.211807,49,419.800536
1417.61013,500,420.806681
1223.498977,431,421.670714
270.131069,175,422.038381
1455.162001,500,423.210121
1546.687847,500,425.64562
1366.434263,500,426.815639
1499.860446,500,427.839629
1449.742832,500,428.982174
721.396767,372,429.740127
1342.601377,500,432.499978
1064.968701,500,433.724966
1124.613667,500,434.752198
1549.681558,500,435.881698
-21.498705,35,435.93487
1427.525924,500,438.318457
1434.072124,500,439.423276
1266.595114,500,440.436288
1448.449984,500,441.518241
25.186864,80,441.647839
1477.099454,500,443.936585
1391.270136,500,445.129676
1349.084066,500,446.355796
471.076318,363,447.160951
1323.828791,500,449.538934
1255.718866,500,450.623699
1484.849567,500,451.705943
